name,degree_centrality,eigenvector_centrality,betweenness_centrality
King,0.31343284,0.34906588,0.22005925
Gloucester,0.29850746,0.29972201,0.18875144
York,0.28358209,0.32537977,0.19812235
Suffolk,0.26865672,0.27381481,0.23794699
Queen,0.25373134,0.32039943,0.08034273
Buckingham,0.20895522,0.26494267,0.15802548
Cade,0.19402985,0.05617192,0.16016702
Cardinal,0.1641791,0.2432634,0.02092901
Salisbury,0.1641791,0.24330254,0.02391436
Warwick,0.13432836,0.22620906,0.00608708
Peter,0.13432836,0.19350374,0.04027382
Duchess,0.13432836,0.16280916,0.05960801
Somerset,0.11940299,0.2045861,0.00545329
"Lord
Clifford",0.11940299,0.15948267,0.03038425
Rebels,0.11940299,0.06831025,0.06920308
Simpcox,0.10447761,0.15383177,0.00775769
Saye,0.10447761,0.07534354,0.0583647
Horner,0.10447761,0.12734979,0.05720755
Dick,0.07462687,0.01537925,0.00326032
"1
Gentleman",0.07462687,0.03310111,0.04236394
Richard,0.07462687,0.10183683,0.008853
Whitmore,0.05970149,0.03280088,0.01394542
Iden,0.05970149,0.09445649,0.02218978
Stafford,0.05970149,0.01390257,0.00190584
Smith,0.05970149,0.00890485,0.00056536
"2
Petitioner",0.05970149,0.08081216,0.00046156
Bolingbroke,0.05970149,0.04866346,0.06034977
Holland,0.05970149,0.00838845,0.00225388
Wife,0.05970149,0.09209014,0.0
Lieutenant,0.05970149,0.03255522,0.02811699
Commons,0.04477612,0.08218066,0.0
Brother,0.04477612,0.01313072,0.0
Clerk,0.04477612,0.01327086,0.00044286
"1
Petitioner",0.04477612,0.0640441,0.0
Townsman,0.04477612,0.0875335,0.0
"1
Murderer",0.02985075,0.0262145,0.02894618
"2
Prentice",0.02985075,0.01968247,0.00213642
"Young
Clifford",0.02985075,0.02479328,0.0
"5
Messenger",0.02985075,0.03959981,0.0
"3
Messenger",0.02985075,0.03228582,0.0
Hume,0.02985075,0.02006386,0.0
Beadle,0.02985075,0.04303158,0.0
"1
Neighbour",0.02985075,0.03126474,0.0246344
"3
Neighbour",0.02985075,0.01247627,0.00385949
"1
Prentice",0.02985075,0.01394993,0.00067843
"2
Neighbour",0.02985075,0.00415,0.00045228
Spirit,0.02985075,0.00465897,0.02894618
Mate,0.02985075,0.00341739,0.00022614
Stanley,0.02985075,0.04388342,0.0
Master,0.02985075,0.00346469,0.0003769
Post,0.02985075,0.05395102,0.0
"2
Gentleman",0.02985075,0.00625246,0.0
Sheriff,0.02985075,0.04388342,0.0
Bevis,0.02985075,0.0079448,0.00112511
"2
Murderer",0.01492537,0.00248712,0.0
"4
Messenger",0.01492537,0.00532998,0.0
Witch,0.01492537,0.00044203,0.0
Edward,0.01492537,0.030871,0.0
Mayor,0.01492537,0.02843659,0.0
Vaux,0.01492537,0.03039843,0.0
"1
Messenger",0.01492537,0.02843659,0.0
Scales,0.01492537,0.0,0.0
Soldier,0.01492537,0.00532998,0.0
Michael,0.01492537,0.00532998,0.0
"1
Citizen",0.01492537,0.0,0.0
Servant,0.01492537,0.02843659,0.0
"2
Messenger",0.01492537,0.03311838,0.0
Herald,0.01492537,0.02843659,0.0
