name,degree_centrality,eigenvector_centrality,betweenness_centrality
"King
Henry",0.4047619,0.3723391,0.24842946
Wolsey,0.35714286,0.35292117,0.22797056
Chamberlain,0.35714286,0.35023667,0.24286129
Katharine,0.26190476,0.19245076,0.21950067
Norfolk,0.26190476,0.30024153,0.15881798
Gardiner,0.23809524,0.26880461,0.06869927
Cranmer,0.23809524,0.26354639,0.06728057
Buckingham,0.21428571,0.12232958,0.22645628
Lovell,0.19047619,0.20739713,0.07917067
Suffolk,0.16666667,0.25682769,0.00171819
Surrey,0.16666667,0.24870348,0.01633344
Cromwell,0.14285714,0.19634678,0.00805508
Chancellor,0.0952381,0.11313695,0.00260817
Keeper,0.0952381,0.11261575,0.00288202
Crier,0.0952381,0.08352967,0.01062718
"Old
Lady",0.0952381,0.11904937,0.00674741
Griffith,0.0952381,0.04035958,0.00174216
Sandys,0.0952381,0.11673717,0.00589707
"2
Gentleman",0.07142857,0.01708657,0.0232288
Messenger,0.07142857,0.03147123,0.0
Campeius,0.07142857,0.10928036,0.0
"1
Gentleman",0.07142857,0.01708657,0.0232288
Porter,0.07142857,0.04309276,0.09291521
Scribe,0.07142857,0.09630999,0.00253904
Anne,0.07142857,0.06978261,0.00038715
Brandon,0.07142857,0.02294471,0.00058072
Abergavenny,0.07142857,0.0530519,0.00929026
Patience,0.07142857,0.03147123,0.0
One,0.04761905,0.00582498,0.0
Man,0.04761905,0.00582498,0.0
Butts,0.04761905,0.07572024,0.0
Sergeant,0.04761905,0.01729948,0.0
"3
Gentleman",0.04761905,0.00406956,0.0
Vaux,0.04761905,0.0392637,0.0
Servant,0.04761905,0.08373103,0.0
Capuchius,0.02380952,0.02291718,0.0
Boy,0.02380952,0.03200869,0.0
Denny,0.02380952,0.04433768,0.0
Gentlewoman,0.02380952,0.02291718,0.0
Lincoln,0.02380952,0.04433768,0.0
Secretary,0.02380952,0.04202549,0.0
Guildford,0.02380952,0.04170554,0.0
Garter,0.02380952,0.03138256,0.0
