name,degree_centrality,eigenvector_centrality,betweenness_centrality
Falstaff,0.5,0.40028421,0.46593663
"Prince
Henry",0.2826087,0.31768091,0.11830246
Lancaster,0.2826087,0.26013149,0.37071786
Justice,0.26086957,0.28903688,0.06377903
Bardolph,0.26086957,0.26675081,0.02920865
Hostess,0.23913043,0.24386504,0.10262492
Doll,0.19565217,0.21949316,0.0596465
Shallow,0.19565217,0.16408887,0.00821256
"King
Henry",0.19565217,0.21336423,0.06160003
Pistol,0.19565217,0.24532085,0.04796301
Page,0.17391304,0.24057566,0.00190246
Clarence,0.15217391,0.17057456,0.00270004
Westmorland,0.15217391,0.11025697,0.02125604
Warwick,0.15217391,0.17057456,0.00270004
Gloucester,0.13043478,0.15945308,0.0
Hastings,0.13043478,0.05692704,0.14975845
"Lord
Bardolph",0.10869565,0.01317843,0.23671498
Poins,0.10869565,0.16207883,0.0
Northumberland,0.10869565,0.00173732,0.12657005
Mowbray,0.10869565,0.05559772,0.0178744
Archbishop,0.10869565,0.05565369,0.12512077
Davy,0.08695652,0.10474482,0.00024155
Silence,0.08695652,0.10258333,0.00024155
Feeble,0.06521739,0.09323688,0.0
Fang,0.06521739,0.07629098,0.00898922
Moldy,0.06521739,0.09323688,0.0
Bullcalf,0.06521739,0.09323688,0.0
Groom2,0.04347826,0.00516755,0.04347826
Beadle,0.04347826,0.05198036,0.0
Coleville,0.04347826,0.07408712,0.0
Morton,0.04347826,0.00167336,0.0
Servant,0.04347826,0.07732965,0.0
Messenger,0.04347826,0.01262363,0.0
Groom3,0.04347826,0.04548437,0.08502415
Gower,0.04347826,0.07732965,0.0
Shadow,0.04347826,0.06331236,0.0
Snare,0.04347826,0.03591569,0.0
Francis,0.04347826,0.03050337,0.00144928
Drawer,0.04347826,0.02804503,0.00064412
"Lady
Percy",0.04347826,0.00021954,0.0
"Lady
Northld",0.04347826,0.00021954,0.0
Peto,0.02173913,0.03563829,0.0
Porter,0.02173913,0.00147845,0.0
Travers,0.02173913,0.00019491,0.0
Harcourt,0.02173913,0.02393594,0.0
Groom1,0.02173913,0.0005797,0.0
Wart,0.02173913,0.04490467,0.0
