name,degree_centrality,eigenvector_centrality,betweenness_centrality
Prince,0.47058824,0.4206016,0.39591291
Hotspur,0.44117647,0.3402549,0.35669722
Falstaff,0.35294118,0.35952999,0.18304049
King,0.26470588,0.31049592,0.04867583
Worcester,0.26470588,0.26482031,0.05461336
Gadshill,0.23529412,0.18963477,0.21078431
Bardolph,0.20588235,0.21812094,0.011735
Douglas,0.17647059,0.22691606,0.01409048
Peto,0.17647059,0.2054966,0.00757576
"1
Traveler",0.11764706,0.13678408,0.00178253
"2
Traveler",0.11764706,0.13678408,0.00178253
Blunt,0.11764706,0.16064445,0.0
Poins,0.11764706,0.15167922,0.00297089
Lancaster,0.08823529,0.15335308,0.0
Vernon,0.08823529,0.11698581,0.0
"1
Carrier",0.08823529,0.03166692,0.05525847
Northumberland,0.08823529,0.12873796,0.0
Westmorland,0.08823529,0.15335308,0.0
Mortimer,0.08823529,0.09365826,0.00089127
Hostess,0.08823529,0.14036462,0.0
"3
Carrier",0.05882353,0.06881703,0.0
"1
Messenger",0.05882353,0.08507931,0.0
Glendower,0.05882353,0.06101237,0.0
"2
Carrier",0.05882353,0.03111792,0.0
Francis,0.05882353,0.08046835,0.0
Sheriff,0.05882353,0.06881703,0.0
Ostler,0.02941176,0.00445293,0.0
Vintner,0.02941176,0.05914073,0.0
Servant,0.02941176,0.04784311,0.0
"Lady
Percy",0.02941176,0.04784311,0.0
Chamberlain,0.02941176,0.02666499,0.0
Archbishop,0.02941176,0.0,0.0
"Sir
Michael",0.02941176,0.0,0.0
"2
Messenger",0.02941176,0.04784311,0.0
"3
Messenger",0.02941176,0.04784311,0.0
