name,degree_centrality,eigenvector_centrality,betweenness_centrality
Bolingbroke,0.51351351,0.44489697,0.26321679
"King
Richard",0.43243243,0.38659277,0.35162305
Aumerle,0.35135135,0.31058275,0.13448091
York,0.27027027,0.29559814,0.10898041
Northumberland,0.24324324,0.25633481,0.06329901
Queen,0.21621622,0.18115194,0.25237738
Marshal,0.18918919,0.19515768,0.10833333
Bushy,0.16216216,0.21160141,0.01147219
Carlisle,0.13513514,0.197041,0.0048048
Gaunt,0.13513514,0.1741293,0.05630631
Green,0.13513514,0.17771404,0.00972043
Exton,0.10810811,0.11140017,0.10660661
Willoughby,0.10810811,0.14323129,0.001001
Bagot,0.10810811,0.14823263,0.00155155
"Duchess
Of
York",0.08108108,0.13609744,0.0
Gardener,0.08108108,0.02427044,0.10660661
Ross,0.08108108,0.10934392,0.0
Abbot,0.08108108,0.12333577,0.0
Percy,0.08108108,0.1310133,0.00055055
Salisbury,0.08108108,0.09181254,0.05405405
Mowbray,0.08108108,0.13293456,0.0
Fitzwater,0.08108108,0.10478622,0.00615616
Groom,0.05405405,0.05750375,0.0
Surrey,0.05405405,0.0537834,0.0
Berkeley,0.05405405,0.09079794,0.0
Scroop,0.05405405,0.09027317,0.0
"1
Herald",0.05405405,0.02902875,0.0
"2
Herald",0.05405405,0.02902875,0.0
Keeper,0.05405405,0.05750375,0.0
"2
Lady",0.02702703,0.02345649,0.0
"1
Lady",0.02702703,0.02345649,0.0
"1
Man",0.02702703,0.00314274,0.0
"2
Man",0.02702703,0.00314274,0.0
"Welsh
Captain",0.02702703,0.01188832,0.0
Servingman,0.02702703,0.03827523,0.0
"1
Servant",0.02702703,0.01442459,0.0
"2
Servant",0.02702703,0.01442459,0.0
"Duchess
Glouc",0.02702703,0.02254704,0.0
